Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,Acceptance criteria,Deployment Environment,Target end,Time to SLA,Original story points,Sprint,Categorize,Story Points,Team,Overdue Status,Program Increment,Start date,End date,Baseline start date,Baseline end date,Task mode,Task progress,Risk probability,Risk consequence,Planned Start,Development,Rank,Epic Link,GtmhubObjectID,Parent Link,Actor,Flagged,Target start,Team,Account,Iteration,Planned End,Structure Index Monitor,Team Role
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22650,BIDVOMNI-14043 [IB] Mẫu thanh toán,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",11/Apr/25 8:38 AM,11/Apr/25 9:51 AM,11/Apr/25 9:51 AM,,,,Mẫu thanh toán,,0,1,,,,,,,"BIDVOMNI-22588, BIDVOMNI-22656",,"Step:
# Tại màn hình mẫu thanh toán
# Nhấn popup mở rộng, kiểm tra hiển thị Hủy/nhận thông báo cước

*KQTT:* Tất cả các dịch vụ đều hiển thị Hủy/Nhận thông báo cước

*KQMM:* Chỉ hiển thị đối với các dịch vụ có giá trị ""ntf"" : ""1"" trả về ở output mid 235",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qhuw:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22588,BIDVOMNI-14043 [IB] Mẫu thanh toán,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",10/Apr/25 1:56 PM,,11/Apr/25 8:38 AM,,,,Mẫu thanh toán,,0,1,_thumb_204183.png _thumb_204184.png,,,,,,"BIDVOMNI-22587, BIDVOMNI-22650",,"Step:
# Tại màn hình thêm mới mẫu thanh toán
# Nhấn chọn 1 loại dịch vụ, chọn tiếp 1 dịch vụ theo theo ảnh
# Kiểm tra hiển thị Switch nhận thông báo cước

*KQTT:* Không hiển thị

*KQMM:* Hiển thị Switch nhận thông báo cước",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qfyw:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22587,BIDVOMNI-14043 [IB] Mẫu thanh toán,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",10/Apr/25 1:42 PM,,10/Apr/25 1:56 PM,,,,Mẫu thanh toán,,0,1,_thumb_204182.png,,,,,,"BIDVOMNI-22588, BIDVOMNI-22586",,"Step:
# Tại màn hình thêm mới mẫu thanh toán
# Nhấn chọn 1 loại dịch vụ, chọn tiếp 1 dịch vụ theo từng loại Category 
# Kiểm tra hiển thị

*KQTT:* Chỉ hiển thị trường mã khách hàng

*KQMM:* Hiển thị các trường nhập theo từng loại Category",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qfs0:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22583,BIDVOMNI-14043 [IB] Mẫu thanh toán,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",10/Apr/25 11:48 AM,,10/Apr/25 1:36 PM,,,,Mẫu thanh toán,,0,1,,,,,,,"BIDVOMNI-22578, BIDVOMNI-22586",,"Step:
# Tại màn hình thêm mới mẫu thanh toán
# Nhấn chọn 1 loại dịch vụ

*KQTT:* Loại dịch vụ bị lặp

*KQMM:* Chỉ hiển thị 1 lần các loại dịch vụ do mid 151 trả về",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qfio:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22577,BIDVOMNI-14043 IB] Mẫu thanh toán,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",10/Apr/25 11:20 AM,,10/Apr/25 11:25 AM,,,,Mẫu thanh toán,,0,1,,,,,,,"BIDVOMNI-22574, BIDVOMNI-22578",,"Step:
# Tại màn hình thêm mới mẫu thanh toán
# Nhấn chọn 1 loại dịch vụ

*KQTT:* Thực hiện gọi liên tục 152, gọi thành công k hiển thị popup chọn dịch vụ

*KQMM:* Thực hiện lưu cache 152, và k thực hiện gọi lại khi đã gọi 152 của loại dịch vụ đó. Gọi thành công 152 > hiển thị popup chọn dịch vụ",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qf0w:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21684,BIDVOMNI-14048 [IB][Mẫu nộp thuế][MH: Thông tin nợ thuế] Check trường Mã số thuế,Sub-bug,Reopen,Highest,Resolve,"Long, Dương Văn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",27/Mar/25 3:54 PM,,09/Apr/25 5:10 PM,29/Mar/25 2:05 PM,,,Nộp thuế,,0,1,,,,,,,"BIDVOMNI-21671, BIDVOMNI-22537",,"1. Tại màn Thông tin nợ thuế
2. Check trường Mã số thuế
KQMM: không Disable, không cho phép sửa
KQTT: Khi click vào nộp thay đang cho phép sửa Mã số thuế",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pq0o:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21598,BIDVOMNI-14048 [IB][Nộp thay][MH: Xác nhận Giao dịch ]: Check lại toàn bộ màn hình,Sub-bug,Reopen,Highest,Resolve,"Anh, Lê Tuấn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",26/Mar/25 2:01 PM,,09/Apr/25 4:40 PM,27/Mar/25 1:36 PM,,,Nộp thuế,,0,1,_thumb_201089.png,,,,,,"BIDVOMNI-21599, BIDVOMNI-21624, BIDVOMNI-21594",,"1. Tại màn hình Xác nhận giao dịch (1 khoản nộp và 2 khoản nộp)
2. Check hiển thị toàn bộ màn hình
KQMM: Hiển thị theo đúng thiết kế
KQTT: Đang không hiển thị theo thiết kế",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pmb4:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21624,BIDVOMNI-14048 [IB][Nộp Chính chủ][MH: Xác nhận Giao dịch ]: Check lại toàn bộ màn hình,Sub-bug,Reopen,Highest,Resolve,"Anh, Lê Tuấn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",26/Mar/25 4:32 PM,,09/Apr/25 4:39 PM,27/Mar/25 1:36 PM,,,Nộp thuế,,0,1,_thumb_204020.png _thumb_201153.png,,,,,,BIDVOMNI-21598,,"1. Tại màn hình Xác nhận giao dịch (1 khoản nộp và 2 khoản nộp)
2. Check hiển thị toàn bộ màn hình
KQMM: Hiển thị theo đúng thiết kế
KQTT: Đang không hiển thị theo thiết kế",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pnao:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21877,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Thanh toán nợ thuế] Check maxlenght được nhập tại Số tiền nộp,Sub-bug,In Progress,Highest,Resolve,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",29/Mar/25 10:51 AM,,09/Apr/25 3:16 PM,02/Apr/25 10:32 AM,,,Nộp thuế,,0,1,_thumb_201817.png,,,,,,"BIDVOMNI-21879, BIDVOMNI-21843",,"1. Tại màn Thanh toán nợ thuế
2. Check số ký tự tối đa được nhập tại trường Số tiền nộp
KQMM: Cho phép nhập tối đa 12 ký tự
KQTT: Đang cho nhập > 12 ký tự",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0ptu0:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22483,BIDVOMNI-19520 [IB] Trang chủ thanh toán,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",09/Apr/25 11:37 AM,,09/Apr/25 11:44 AM,,,,Thanh toán hóa đơn,,0,1,,,,,,,"BIDVOMNI-22479, BIDVOMNI-22484",,"Trình duyệt: Chorme

Step:
# Login thành công
# Nhấn thanh toán ở màn hình home
# Nhấn 1 dịch vụ bất kỳ, khi khóa mid 10

*KQTT:* Vẫn hiển thị màn hình khởi tạo thanh toán

*KQMM:* Show popup lỗi > Tắt popup lỗi hiển thị màn hình trước đó",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qc7c:,,,,Web Frontend,,,None,None,None,,,None
